combo,dataset,task,model,beta,anchor,run,I_XZ,I_YZ,I_XZ_given_Y,I_XZ_given_Y_upper,CE,Acc,R2
mnist_mlp_opb_beta_0.001_anchor_6,mnist,mnist,opb,0.001,6,1,4.909817,2.210096,5.102582,1602.260369,0.088102,0.982400,
mnist_mlp_opb_beta_0.001_anchor_6,mnist,mnist,opb,0.001,6,2,5.555646,2.210065,5.765651,2082.046968,0.088097,0.983000,
mnist_mlp_opb_beta_0.001_anchor_6,mnist,mnist,opb,0.001,6,3,5.459239,2.208904,5.694566,2219.463618,0.090603,0.982100,
mnist_mlp_opb_beta_0.001_anchor_6,mnist,mnist,opb,0.001,6,4,6.744012,2.225396,6.190767,286.470036,0.073165,0.981500,
mnist_mlp_opb_beta_0.001_anchor_6,mnist,mnist,opb,0.001,6,5,6.035170,2.209313,5.867117,577.358236,0.089785,0.978900,
mnist_mlp_opb_beta_0.005_anchor_1,mnist,mnist,opb,0.005,1,1,4.151723,2.227056,2.909375,32.682053,0.069165,0.978700,
mnist_mlp_opb_beta_0.005_anchor_1,mnist,mnist,opb,0.005,1,2,3.696723,2.231633,2.311715,23.388538,0.062844,0.983000,
mnist_mlp_opb_beta_0.005_anchor_1,mnist,mnist,opb,0.005,1,3,3.752584,2.228785,2.349198,22.058063,0.065338,0.981200,
mnist_mlp_opb_beta_0.005_anchor_1,mnist,mnist,opb,0.005,1,4,3.773338,2.232292,2.494505,32.022195,0.064369,0.982800,
mnist_mlp_opb_beta_0.005_anchor_1,mnist,mnist,opb,0.005,1,5,3.893108,2.232932,2.599869,29.812345,0.063842,0.981200,
mnist_mlp_opb_beta_0.005_anchor_12,mnist,mnist,opb,0.005,12,1,5.256540,2.074186,5.290582,761.035592,0.216607,0.979200,
mnist_mlp_opb_beta_0.005_anchor_12,mnist,mnist,opb,0.005,12,2,5.837144,2.125517,5.480171,218.222684,0.154437,0.975500,
mnist_mlp_opb_beta_0.005_anchor_12,mnist,mnist,opb,0.005,12,3,6.050414,2.151917,5.876746,333.170574,0.135042,0.980000,
mnist_mlp_opb_beta_0.005_anchor_12,mnist,mnist,opb,0.005,12,4,6.078112,2.123409,5.858468,288.767773,0.161296,0.977000,
mnist_mlp_opb_beta_0.005_anchor_12,mnist,mnist,opb,0.005,12,5,5.381324,2.103774,5.301038,804.428966,0.189714,0.981700,
mnist_mlp_opb_beta_0.005_anchor_6,mnist,mnist,opb,0.005,6,1,3.686609,2.198951,2.487894,29.477968,0.087926,0.984300,
mnist_mlp_opb_beta_0.005_anchor_6,mnist,mnist,opb,0.005,6,2,4.077228,2.204795,3.142027,59.665493,0.082564,0.982800,
mnist_mlp_opb_beta_0.005_anchor_6,mnist,mnist,opb,0.005,6,3,3.649609,2.200005,2.459251,30.365205,0.092077,0.984300,
mnist_mlp_opb_beta_0.005_anchor_6,mnist,mnist,opb,0.005,6,4,3.564781,2.194478,2.325131,29.774934,0.094996,0.982600,
mnist_mlp_opb_beta_0.005_anchor_6,mnist,mnist,opb,0.005,6,5,3.642533,2.200343,2.429179,30.915201,0.091592,0.984000,
mnist_mlp_opb_beta_0.01_anchor_1,mnist,mnist,opb,0.01,1,1,3.136313,2.221347,1.388476,8.444969,0.065977,0.982200,
mnist_mlp_opb_beta_0.01_anchor_1,mnist,mnist,opb,0.01,1,2,3.438580,2.217380,1.796022,11.853128,0.069327,0.981300,
mnist_mlp_opb_beta_0.01_anchor_1,mnist,mnist,opb,0.01,1,3,3.383734,2.226309,1.747694,12.048784,0.065031,0.981200,
mnist_mlp_opb_beta_0.01_anchor_1,mnist,mnist,opb,0.01,1,4,3.556174,2.222949,1.951777,14.358442,0.067046,0.981600,
mnist_mlp_opb_beta_0.01_anchor_1,mnist,mnist,opb,0.01,1,5,3.153702,2.230184,1.454464,9.593135,0.061490,0.984000,
mnist_mlp_opb_beta_0.01_anchor_12,mnist,mnist,opb,0.01,12,1,4.538710,2.054822,3.661855,116.915526,0.218009,0.981400,
mnist_mlp_opb_beta_0.01_anchor_12,mnist,mnist,opb,0.01,12,2,4.090467,2.080766,2.986152,52.060130,0.197613,0.983400,
mnist_mlp_opb_beta_0.01_anchor_12,mnist,mnist,opb,0.01,12,3,3.610118,2.080179,2.121698,20.564827,0.200835,0.983100,
mnist_mlp_opb_beta_0.01_anchor_12,mnist,mnist,opb,0.01,12,4,5.405081,2.052110,5.189879,379.445498,0.217567,0.978600,
mnist_mlp_opb_beta_0.01_anchor_12,mnist,mnist,opb,0.01,12,5,3.907803,2.063453,2.581139,32.424157,0.216553,0.983100,
mnist_mlp_opb_beta_0.01_anchor_6,mnist,mnist,opb,0.01,6,1,3.923097,2.182453,2.761460,36.242950,0.099485,0.981800,
mnist_mlp_opb_beta_0.01_anchor_6,mnist,mnist,opb,0.01,6,2,3.555113,2.199209,2.079394,18.654787,0.086289,0.983300,
mnist_mlp_opb_beta_0.01_anchor_6,mnist,mnist,opb,0.01,6,3,3.483498,2.194496,1.945540,16.011268,0.091638,0.984400,
mnist_mlp_opb_beta_0.01_anchor_6,mnist,mnist,opb,0.01,6,4,3.757959,2.191786,2.403575,27.544571,0.092751,0.983400,
mnist_mlp_opb_beta_0.01_anchor_6,mnist,mnist,opb,0.01,6,5,3.604218,2.197689,2.165680,20.050299,0.086669,0.982400,
mnist_mlp_opb_beta_0.05_anchor_1,mnist,mnist,opb,0.05,1,1,2.640530,2.192230,0.573313,2.010455,0.071779,0.981200,
mnist_mlp_opb_beta_0.05_anchor_1,mnist,mnist,opb,0.05,1,2,2.766555,2.205677,0.748429,3.010474,0.066749,0.981800,
mnist_mlp_opb_beta_0.05_anchor_1,mnist,mnist,opb,0.05,1,3,2.741458,2.194300,0.715748,2.713173,0.070390,0.982400,
mnist_mlp_opb_beta_0.05_anchor_1,mnist,mnist,opb,0.05,1,4,2.666075,2.195861,0.602491,2.167927,0.068369,0.981200,
mnist_mlp_opb_beta_0.05_anchor_1,mnist,mnist,opb,0.05,1,5,2.705055,2.175053,0.674319,2.453472,0.079298,0.980500,
mnist_mlp_opb_beta_0.05_anchor_12,mnist,mnist,opb,0.05,12,1,2.626859,2.139370,0.639355,2.616122,0.128866,0.984200,
mnist_mlp_opb_beta_0.05_anchor_12,mnist,mnist,opb,0.05,12,2,2.801267,2.106591,0.817693,3.683141,0.158729,0.984300,
mnist_mlp_opb_beta_0.05_anchor_12,mnist,mnist,opb,0.05,12,3,2.797330,2.093508,0.805110,3.605924,0.172747,0.983300,
mnist_mlp_opb_beta_0.05_anchor_12,mnist,mnist,opb,0.05,12,4,3.043658,2.052596,1.094905,5.486829,0.211495,0.984900,
mnist_mlp_opb_beta_0.05_anchor_12,mnist,mnist,opb,0.05,12,5,2.609213,2.160695,0.599023,2.336434,0.112759,0.985300,
mnist_mlp_opb_beta_0.05_anchor_6,mnist,mnist,opb,0.05,6,1,2.760575,2.166776,0.735677,2.775990,0.101316,0.984600,
mnist_mlp_opb_beta_0.05_anchor_6,mnist,mnist,opb,0.05,6,2,2.690606,2.170242,0.655974,2.465986,0.089281,0.984200,
mnist_mlp_opb_beta_0.05_anchor_6,mnist,mnist,opb,0.05,6,3,2.904469,2.159200,0.934407,3.848482,0.105125,0.982400,
mnist_mlp_opb_beta_0.05_anchor_6,mnist,mnist,opb,0.05,6,4,2.846800,2.166097,0.847684,3.408777,0.100683,0.983300,
mnist_mlp_opb_beta_0.05_anchor_6,mnist,mnist,opb,0.05,6,5,2.810595,2.161654,0.797480,3.180739,0.096314,0.983300,
mnist_mlp_opb_beta_0.1_anchor_1,mnist,mnist,opb,0.1,1,1,2.531604,2.178274,0.440381,1.413328,0.070366,0.981200,
mnist_mlp_opb_beta_0.1_anchor_1,mnist,mnist,opb,0.1,1,2,2.539378,2.161193,0.460905,1.476620,0.074211,0.981400,
mnist_mlp_opb_beta_0.1_anchor_1,mnist,mnist,opb,0.1,1,3,2.570274,2.152991,0.506141,1.687166,0.085714,0.979800,
mnist_mlp_opb_beta_0.1_anchor_1,mnist,mnist,opb,0.1,1,4,2.559973,2.134532,0.495545,1.628993,0.092984,0.979800,
mnist_mlp_opb_beta_0.1_anchor_1,mnist,mnist,opb,0.1,1,5,2.542300,2.156448,0.469588,1.497854,0.079235,0.981000,
mnist_mlp_opb_beta_0.1_anchor_12,mnist,mnist,opb,0.1,12,1,2.530453,2.148755,0.466058,1.672633,0.112511,0.985100,
mnist_mlp_opb_beta_0.1_anchor_12,mnist,mnist,opb,0.1,12,2,2.695472,2.084916,0.635040,2.508511,0.178516,0.985300,
mnist_mlp_opb_beta_0.1_anchor_12,mnist,mnist,opb,0.1,12,3,2.821612,2.055356,0.763058,3.181056,0.207883,0.984400,
mnist_mlp_opb_beta_0.1_anchor_12,mnist,mnist,opb,0.1,12,4,2.909019,2.028393,0.883385,3.865222,0.231115,0.983200,
mnist_mlp_opb_beta_0.1_anchor_12,mnist,mnist,opb,0.1,12,5,2.719036,2.098344,0.652796,2.562065,0.165064,0.984200,
mnist_mlp_opb_beta_0.1_anchor_6,mnist,mnist,opb,0.1,6,1,2.686308,2.146950,0.608770,2.120577,0.105465,0.983500,
mnist_mlp_opb_beta_0.1_anchor_6,mnist,mnist,opb,0.1,6,2,2.666958,2.151776,0.604824,2.104096,0.099618,0.983300,
mnist_mlp_opb_beta_0.1_anchor_6,mnist,mnist,opb,0.1,6,3,2.761580,2.154417,0.702636,2.477522,0.095480,0.983600,
mnist_mlp_opb_beta_0.1_anchor_6,mnist,mnist,opb,0.1,6,4,2.528122,2.158253,0.445255,1.436996,0.087223,0.984300,
mnist_mlp_opb_beta_0.1_anchor_6,mnist,mnist,opb,0.1,6,5,2.546063,2.161161,0.482587,1.667886,0.102127,0.984900,
