config,run,norm,eps,acc,succ
mnist_mlp_ceb_beta_0.01,3,linf,0.25,0.164000,0.832824
mnist_mlp_ceb_beta_0.01,3,linf,0.3,0.075000,0.923547
mnist_mlp_ceb_beta_0.01,3,l2,1,0.930000,0.051988
mnist_mlp_ceb_beta_0.01,3,l2,2,0.770000,0.215087
mnist_mlp_ceb_beta_0.01,3,l2,3,0.460000,0.531091
mnist_mlp_ceb_beta_0.01,3,l2,4,0.264000,0.730887
mnist_mlp_ceb_beta_0.01,3,l2,5,0.130000,0.867482
mnist_mlp_ceb_beta_0.01,3,l2,6,0.065000,0.933741
mnist_mlp_ceb_beta_0.01,4,none,0,0.987000,
mnist_mlp_ceb_beta_0.01,4,linf,0.05,0.922000,0.065856
mnist_mlp_ceb_beta_0.01,4,linf,0.1,0.693000,0.297872
mnist_mlp_ceb_beta_0.01,4,linf,0.15,0.440000,0.554205
mnist_mlp_ceb_beta_0.01,4,linf,0.2,0.243000,0.753799
mnist_mlp_ceb_beta_0.01,4,linf,0.25,0.124000,0.874367
mnist_mlp_ceb_beta_0.01,4,linf,0.3,0.074000,0.925025
mnist_mlp_ceb_beta_0.01,4,l2,1,0.923000,0.064843
mnist_mlp_ceb_beta_0.01,4,l2,2,0.721000,0.269504
mnist_mlp_ceb_beta_0.01,4,l2,3,0.438000,0.556231
mnist_mlp_ceb_beta_0.01,4,l2,4,0.251000,0.745694
mnist_mlp_ceb_beta_0.01,4,l2,5,0.124000,0.874367
mnist_mlp_ceb_beta_0.01,4,l2,6,0.065000,0.934144
mnist_mlp_ceb_beta_0.01,5,none,0,0.977000,
mnist_mlp_ceb_beta_0.01,5,linf,0.05,0.930000,0.048106
mnist_mlp_ceb_beta_0.01,5,linf,0.1,0.787000,0.194473
mnist_mlp_ceb_beta_0.01,5,linf,0.15,0.520000,0.467758
mnist_mlp_ceb_beta_0.01,5,linf,0.2,0.296000,0.697032
mnist_mlp_ceb_beta_0.01,5,linf,0.25,0.153000,0.843398
mnist_mlp_ceb_beta_0.01,5,linf,0.3,0.062000,0.936540
mnist_mlp_ceb_beta_0.01,5,l2,1,0.930000,0.048106
mnist_mlp_ceb_beta_0.01,5,l2,2,0.790000,0.191402
mnist_mlp_ceb_beta_0.01,5,l2,3,0.540000,0.447288
mnist_mlp_ceb_beta_0.01,5,l2,4,0.292000,0.701126
mnist_mlp_ceb_beta_0.01,5,l2,5,0.151000,0.845445
mnist_mlp_ceb_beta_0.01,5,l2,6,0.068000,0.930399
mnist_mlp_ceb_beta_0.1,1,none,0,0.981000,
mnist_mlp_ceb_beta_0.1,1,linf,0.05,0.907000,0.075433
mnist_mlp_ceb_beta_0.1,1,linf,0.1,0.747000,0.238532
mnist_mlp_ceb_beta_0.1,1,linf,0.15,0.434000,0.557594
mnist_mlp_ceb_beta_0.1,1,linf,0.2,0.249000,0.746177
mnist_mlp_ceb_beta_0.1,1,linf,0.25,0.128000,0.869521
mnist_mlp_ceb_beta_0.1,1,linf,0.3,0.079000,0.919470
mnist_mlp_ceb_beta_0.1,1,l2,1,0.914000,0.068298
mnist_mlp_ceb_beta_0.1,1,l2,2,0.768000,0.217125
mnist_mlp_ceb_beta_0.1,1,l2,3,0.450000,0.541284
mnist_mlp_ceb_beta_0.1,1,l2,4,0.254000,0.741081
mnist_mlp_ceb_beta_0.1,1,l2,5,0.124000,0.873598
mnist_mlp_ceb_beta_0.1,1,l2,6,0.053000,0.945974
mnist_mlp_ceb_beta_0.1,2,none,0,0.975000,
mnist_mlp_ceb_beta_0.1,2,linf,0.05,0.918000,0.058462
mnist_mlp_ceb_beta_0.1,2,linf,0.1,0.669000,0.313846
mnist_mlp_ceb_beta_0.1,2,linf,0.15,0.424000,0.565128
mnist_mlp_ceb_beta_0.1,2,linf,0.2,0.210000,0.784615
mnist_mlp_ceb_beta_0.1,2,linf,0.25,0.113000,0.884103
mnist_mlp_ceb_beta_0.1,2,linf,0.3,0.072000,0.926154
mnist_mlp_ceb_beta_0.1,2,l2,1,0.916000,0.060513
mnist_mlp_ceb_beta_0.1,2,l2,2,0.699000,0.283077
mnist_mlp_ceb_beta_0.1,2,l2,3,0.434000,0.554872
mnist_mlp_ceb_beta_0.1,2,l2,4,0.215000,0.779487
mnist_mlp_ceb_beta_0.1,2,l2,5,0.111000,0.886154
mnist_mlp_ceb_beta_0.1,2,l2,6,0.064000,0.934359
mnist_mlp_ceb_beta_0.1,3,none,0,0.980000,
mnist_mlp_ceb_beta_0.1,3,linf,0.05,0.919000,0.062245
mnist_mlp_ceb_beta_0.1,3,linf,0.1,0.679000,0.307143
mnist_mlp_ceb_beta_0.1,3,linf,0.15,0.401000,0.590816
mnist_mlp_ceb_beta_0.1,3,linf,0.2,0.207000,0.788776
mnist_mlp_ceb_beta_0.1,3,linf,0.25,0.113000,0.884694
mnist_mlp_ceb_beta_0.1,3,linf,0.3,0.059000,0.939796
mnist_mlp_ceb_beta_0.1,3,l2,1,0.922000,0.059184
mnist_mlp_ceb_beta_0.1,3,l2,2,0.707000,0.278571
mnist_mlp_ceb_beta_0.1,3,l2,3,0.417000,0.574490
mnist_mlp_ceb_beta_0.1,3,l2,4,0.207000,0.788776
mnist_mlp_ceb_beta_0.1,3,l2,5,0.097000,0.901020
mnist_mlp_ceb_beta_0.1,3,l2,6,0.048000,0.951020
