config,run,norm,eps,acc,succ
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,2,none,0,0.975000,
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,2,linf,0.05,0.965000,0.000000
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,2,linf,0.1,0.957000,0.001122
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,2,linf,0.15,0.941000,0.000000
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,2,linf,0.2,0.924000,0.002245
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,2,linf,0.25,0.898000,0.002245
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,2,linf,0.3,0.886000,0.007856
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,2,l2,1,0.973000,0.000000
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,2,l2,2,0.955000,0.000000
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,2,l2,3,0.937000,0.003367
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,2,l2,4,0.919000,0.005612
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,2,l2,5,0.906000,0.003367
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,2,l2,6,0.875000,0.011223
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,3,none,0,0.981000,
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,3,linf,0.05,0.974000,0.000000
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,3,linf,0.1,0.956000,0.000000
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,3,linf,0.15,0.951000,0.000000
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,3,linf,0.2,0.925000,0.004459
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,3,linf,0.25,0.908000,0.005574
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,3,linf,0.3,0.895000,0.008919
mnist_mlp_opb_beta_25_anchor_1→mnist_mlp_ceb_beta_0.1,3,l2,1,0.976000,0.000000
