dataset,variant,beta,anchor,metric_mean,metric_std,n_runs
cora,OPB-FF,0.01,14.0,0.8756600000000001,0.009089169378991676,5
cora,OPB-FF,0.01,16.0,0.8763799999999999,0.007721204569236615,5
cora,OPB-FF,0.1,1.0,0.8523999999999999,0.004317406628984567,5
cora,OPB-FF,0.1,2.0,0.87306,0.003317830616532411,5
cora,OPB-FF,0.1,4.0,0.86828,0.003573093897450819,5
cora,OPB-FF,0.1,6.0,0.8712199999999999,0.005611327828598159,5
cora,OPB-FF,0.1,8.0,0.8752600000000001,0.0021007141642783926,5
cora,OPB-FF,0.1,10.0,0.8745,0.003699999999999981,5
cora,OPB-FF,0.1,12.0,0.87784,0.0020403431084011067,5
cora,OPB-FF,0.1,14.0,0.876,0.0040131035371642155,5
cora,OPB-FF,0.1,16.0,0.87562,0.004055490106016773,5
cora,OPB-FF,1.0,1.0,0.38192,0.07363034021380045,5
cora,OPB-FF,1.0,2.0,0.80776,0.17011451437193711,5
cora,OPB-FF,1.0,4.0,0.8745200000000001,0.003924538189392478,5
cora,OPB-FF,1.0,6.0,0.8764,0.0059715994507334655,5
cora,OPB-FF,1.0,8.0,0.87232,0.006031749331661573,5
cora,OPB-FF,1.0,10.0,0.8752600000000001,0.006478271374371423,5
cora,OPB-FF,1.0,12.0,0.8745200000000001,0.005057370858459957,5
cora,OPB-FF,1.0,14.0,0.87158,0.006081282759418414,5
cora,OPB-FF,1.0,16.0,0.8715999999999999,0.006180210352407087,5
cora,OPB-FF,10.0,1.0,0.35536,0.05718192896361578,5
cora,OPB-FF,10.0,2.0,0.30552,0.10361388420477248,5
cora,OPB-FF,10.0,4.0,0.52068,0.05706830994518763,5
cora,OPB-FF,10.0,6.0,0.8121600000000001,0.14874553102530508,5
cora,OPB-FF,10.0,8.0,0.8801,0.004531556024148879,5
cora,OPB-FF,10.0,10.0,0.8797,0.00304302481094057,5
cora,OPB-FF,10.0,12.0,0.7660600000000001,0.2570152291207663,5
cora,OPB-FF,10.0,14.0,0.67418,0.2889294066030663,5
cora,OPB-FF,10.0,16.0,0.64722,0.268288672887992,5
cora,OPB-FV,0.0001,1.0,0.86568,0.009283964670333475,5
cora,OPB-FV,0.0001,2.0,0.87858,0.002750818060141368,5
cora,OPB-FV,0.0001,4.0,0.8812,0.004463742824133132,5
cora,OPB-FV,0.0001,6.0,0.8712199999999999,0.004185928809714768,5
cora,OPB-FV,0.0001,8.0,0.87306,0.016060448312547212,5
cora,OPB-FV,0.0001,10.0,0.8737999999999999,0.013450836405220306,5
cora,OPB-FV,0.0001,12.0,0.8745,0.003699999999999981,5
cora,OPB-FV,0.0001,14.0,0.87418,0.008874514071204128,5
cora,OPB-FV,0.0001,16.0,0.87416,0.008404939024169089,5
cora,OPB-FV,0.001,1.0,0.8664200000000001,0.005923428061519788,5
cora,OPB-FV,0.001,2.0,0.8778600000000001,0.004031500961180578,5
cora,OPB-FV,0.001,4.0,0.8690200000000001,0.004697020332082856,5
cora,OPB-FV,0.001,6.0,0.8686399999999999,0.011120836299487558,5
cora,OPB-FV,0.001,8.0,0.8745200000000001,0.003447752891377214,5
cora,OPB-FV,0.001,10.0,0.86826,0.011027375027630102,5
cora,OPB-FV,0.001,12.0,0.87676,0.009632133720002028,5
cora,OPB-FV,0.001,14.0,0.8693799999999999,0.01545677844830548,5
cora,OPB-FV,0.001,16.0,0.87342,0.011283926621526762,5
cora,OPB-FV,0.01,1.0,0.86494,0.0027373344698812174,5
cora,OPB-FV,0.01,2.0,0.86274,0.003382750360283768,5
cora,OPB-FV,0.01,4.0,0.86234,0.017939286496402265,5
cora,OPB-FV,0.01,6.0,0.8737999999999999,0.011064131235664201,5
cora,OPB-FV,0.01,8.0,0.8778600000000001,0.0024275502054540337,5
cora,OPB-FV,0.01,10.0,0.8686400000000001,0.007289924553793394,5
cora,OPB-FV,0.01,12.0,0.8701000000000001,0.004050925820105816,5
cora,OPB-FV,0.01,14.0,0.869,0.006090566476117003,5
cora,OPB-FV,0.01,16.0,0.86678,0.008591100045977814,5
cora,OPB-FV,0.1,1.0,0.86714,0.006236826115902239,5
cora,OPB-FV,0.1,2.0,0.87158,0.004826178612525642,5
cora,OPB-FV,0.1,4.0,0.86236,0.0038194240403495363,5
cora,OPB-FV,0.1,6.0,0.86974,0.004413955142499761,5
cora,OPB-FV,0.1,8.0,0.8715999999999999,0.006981403870282846,5
cora,OPB-FV,0.1,10.0,0.8749,0.00603779761171241,5
cora,OPB-FV,0.1,12.0,0.87416,0.006825906533201299,5
cora,OPB-FV,0.1,14.0,0.87454,0.00612070257405145,5
cora,OPB-FV,0.1,16.0,0.8752600000000001,0.003819424040349531,5
cora,OPB-FV,1.0,1.0,0.5985199999999999,0.19927236888239172,5
cora,OPB-FV,1.0,2.0,0.49482,0.11910139377857844,5
cora,OPB-FV,1.0,4.0,0.63836,0.023762743949300155,5
cora,OPB-FV,1.0,6.0,0.86974,0.008098950549299596,5
cora,OPB-FV,1.0,8.0,0.87418,0.005106564402805471,5
cora,OPB-FV,1.0,10.0,0.8726800000000001,0.0029252350332921906,5
cora,OPB-FV,1.0,12.0,0.8712199999999999,0.006564830538559238,5
cora,OPB-FV,1.0,14.0,0.8634600000000001,0.01874481261576117,5
cora,OPB-FV,1.0,16.0,0.8642199999999999,0.01642778134746138,5
cora,OPB-FV,10.0,1.0,0.33874,0.07692001040041532,5
cora,OPB-FV,10.0,2.0,0.3155,0.1173175604928776,5
cora,OPB-FV,10.0,4.0,0.44464,0.07225789230250217,5
cora,OPB-FV,10.0,6.0,0.52508,0.06058561710505226,5
cora,OPB-FV,10.0,8.0,0.88192,0.001308434178703703,5
cora,OPB-FV,10.0,10.0,0.8804399999999999,0.0015420765220961147,5
cora,OPB-FV,10.0,12.0,0.7638199999999999,0.2568249053343542,5
cora,OPB-FV,10.0,14.0,0.76458,0.2572828346392351,5
cora,OPB-FV,10.0,16.0,0.67342,0.28751765511008187,5
cora,OPB-RV,0.0001,1.0,0.8520199999999999,0.009880131578071194,5
cora,OPB-RV,0.0001,2.0,0.8365400000000001,0.03839404901804444,5
cora,OPB-RV,0.0001,4.0,0.84724,0.04539083607954364,5
cora,OPB-RV,0.0001,6.0,0.8387399999999999,0.042860622953942246,5
cora,OPB-RV,0.0001,8.0,0.8450200000000001,0.03247386641593516,5
cora,OPB-RV,0.0001,10.0,0.85462,0.01779261082584564,5
cora,OPB-RV,0.0001,12.0,0.8516600000000001,0.02400027083180523,5
cora,OPB-RV,0.0001,14.0,0.8450200000000001,0.02262624582205364,5
cora,OPB-RV,0.0001,16.0,0.75534,0.1735984245320216,5
cora,OPB-RV,0.001,1.0,0.80518,0.06640818473652177,5
cora,OPB-RV,0.001,2.0,0.7823,0.05836141704928009,5
cora,OPB-RV,0.001,4.0,0.83542,0.055964694227700354,5
cora,OPB-RV,0.001,6.0,0.8479599999999999,0.04562705337845084,5
cora,OPB-RV,0.001,8.0,0.8501799999999999,0.02785232485807963,5
cora,OPB-RV,0.001,10.0,0.84206,0.012019068183515724,5
cora,OPB-RV,0.001,12.0,0.85352,0.024314542973290713,5
cora,OPB-RV,0.001,14.0,0.83984,0.018308413366537248,5
cora,OPB-RV,0.001,16.0,0.76274,0.17342143177819747,5
cora,OPB-RV,0.01,1.0,0.8261800000000001,0.07383635283517193,5
cora,OPB-RV,0.01,2.0,0.8173600000000001,0.04923111820789772,5
cora,OPB-RV,0.01,4.0,0.82508,0.041240113966864826,5
cora,OPB-RV,0.01,6.0,0.83026,0.04958173050630648,5
cora,OPB-RV,0.01,8.0,0.8453800000000001,0.03276357733825779,5
cora,OPB-RV,0.01,10.0,0.85092,0.018873579416740213,5
cora,OPB-RV,0.01,12.0,0.8553599999999999,0.021727586152170724,5
cora,OPB-RV,0.01,14.0,0.8609,0.0054863466897380605,5
cora,OPB-RV,0.01,16.0,0.8572,0.009803060746521968,5
cora,OPB-RV,0.1,1.0,0.82548,0.05569346460761804,5
cora,OPB-RV,0.1,2.0,0.7764,0.06590041729761657,5
cora,OPB-RV,0.1,4.0,0.81182,0.03822913810171504,5
cora,OPB-RV,0.1,6.0,0.83248,0.050684386155896176,5
cora,OPB-RV,0.1,8.0,0.8472199999999999,0.04932998074193825,5
cora,OPB-RV,0.1,10.0,0.8513,0.03094890951229134,5
cora,OPB-RV,0.1,12.0,0.8612400000000001,0.019169194036265567,5
cora,OPB-RV,0.1,14.0,0.8671599999999999,0.01000664779034419,5
cora,OPB-RV,0.1,16.0,0.8730800000000001,0.007294998286497416,5
cora,OPB-RV,1.0,1.0,0.86714,0.01923182258653611,5
cora,OPB-RV,1.0,2.0,0.81846,0.06883812896934373,5
cora,OPB-RV,1.0,4.0,0.8601599999999999,0.0268177739568369,5
cora,OPB-RV,1.0,6.0,0.8572200000000001,0.032388068790837145,5
cora,OPB-RV,1.0,8.0,0.8431799999999999,0.038416168471100784,5
cora,OPB-RV,1.0,10.0,0.86236,0.02057991739536386,5
cora,OPB-RV,1.0,12.0,0.8553599999999999,0.020569589203481932,5
cora,OPB-RV,1.0,14.0,0.8583000000000001,0.01894505212449943,5
cora,OPB-RV,1.0,16.0,0.85756,0.02159011347816404,5
cora,OPB-RV,10.0,1.0,0.7383599999999999,0.24468823633350256,5
cora,OPB-RV,10.0,2.0,0.70958,0.24544744243931327,5
cora,OPB-RV,10.0,4.0,0.85312,0.021807040147622046,5
cora,OPB-RV,10.0,6.0,0.85978,0.020509680641102132,5
cora,OPB-RV,10.0,8.0,0.85756,0.02016911004481857,5
cora,OPB-RV,10.0,10.0,0.85754,0.018958190841955356,5
cora,OPB-RV,10.0,12.0,0.85868,0.021936658815781423,5
cora,OPB-RV,10.0,14.0,0.86274,0.017436255331922654,5
cora,OPB-RV,10.0,16.0,0.84724,0.03517929788952588,5
imagenet100,Base,,,0.83124,0.0014397916515940625,5
imagenet100,CEB,0.0001,,0.8256399999999999,0.002010721263626562,5
imagenet100,CEB,0.001,,0.82324,0.004714127702979615,5
imagenet100,CEB,0.01,,0.8277599999999999,0.002240089283934924,5
imagenet100,CEB,0.1,,0.71514,0.027012367537851984,5
imagenet100,CEB,1.0,,0.0103,0.0,5
imagenet100,CEB,10.0,,0.0103,0.0,5
imagenet100,CEB-energy,0.0001,,0.81326,0.001392120684423557,5
imagenet100,CEB-energy,0.001,,0.8158999999999998,0.002118962010041688,5
imagenet100,CEB-energy,0.01,,0.6840200000000001,0.04680482881071142,5
imagenet100,CEB-energy,0.1,,0.0103,0.0,5
imagenet100,CEB-energy,1.0,,0.0103,0.0,5
imagenet100,CEB-energy,10.0,,0.0103,0.0,5
imagenet100,GPB,0.0001,1.0,0.8256399999999999,0.003126179777300075,5
imagenet100,GPB,0.0001,6.0,0.8102,0.005474029594366476,5
imagenet100,GPB,0.0001,12.0,0.7983800000000001,0.002566515147042757,5
imagenet100,GPB,0.001,1.0,0.82822,0.005615781334774327,5
imagenet100,GPB,0.001,6.0,0.80998,0.004577881606158016,5
imagenet100,GPB,0.001,12.0,0.80238,0.005047474616082794,5
imagenet100,GPB,0.01,1.0,0.8305400000000001,0.0070016426644038225,5
imagenet100,GPB,0.01,6.0,0.81762,0.006946725847476608,5
imagenet100,GPB,0.01,12.0,0.8062400000000001,0.0047568897401558665,5
imagenet100,GPB,0.1,1.0,0.8328200000000001,0.007792753043693872,5
imagenet100,GPB,0.1,6.0,0.8185800000000001,0.013858823903924919,5
imagenet100,GPB,0.1,12.0,0.8164999999999999,0.011969335821172353,5
imagenet100,GPB,1.0,1.0,0.01008,0.0004919349550499539,5
imagenet100,GPB,1.0,6.0,0.83362,0.004907341439109353,5
imagenet100,GPB,1.0,12.0,0.84216,0.0014943225890014311,5
imagenet100,GPB,10.0,1.0,0.0103,0.0,5
imagenet100,GPB,10.0,6.0,0.6851999999999999,0.016708530755275897,5
imagenet100,GPB,10.0,12.0,0.80426,0.016410911004572516,5
imagenet100,GPB-L,0.0001,1.0,0.8257199999999999,0.0037432606107510157,5
imagenet100,GPB-L,0.0001,6.0,0.82674,0.0023190515302597492,5
imagenet100,GPB-L,0.0001,12.0,0.8256,0.003737646318206131,5
imagenet100,GPB-L,0.001,1.0,0.8228,0.0077919830595298235,5
imagenet100,GPB-L,0.001,6.0,0.82208,0.006204997985495248,5
imagenet100,GPB-L,0.001,12.0,0.82258,0.006587639941587553,5
imagenet100,GPB-L,0.01,1.0,0.8259000000000001,0.002331308645374937,5
imagenet100,GPB-L,0.01,6.0,0.82812,0.0017239489551608052,5
imagenet100,GPB-L,0.01,12.0,0.82412,0.007310745516019554,5
imagenet100,GPB-L,0.1,1.0,0.70228,0.017550697991817892,5
