2026-09-06 07:40:31 | Device: cuda
2026-09-06 07:40:31 | Args: {'model': 'adacap', 'backbone': 'mlp', 'task': 'housing', 'epochs': 100, 'batch_size': 512, 'lr': 0.001, 'hidden_dims': [512, 256], 'dropout': 0.2, 'z_dim': 256, 'anchor_scale': 4.0, 'energy_classifier': False, 'tied_head': False, 'max_len': 250, 'random_labels': False, 'beta': 0.01, 'patience': 10, 'runs': 5, 'seed': 0, 'data_dir': './data', 'save_path': 'output/california_mlp_adacap/california_mlp_adacap.pt', 'log_path': '/root/autodl-tmp/IB/tune_results/california_mlp_adacap_beta_0.01/train.log', 'no_save': True}
2026-09-06 07:40:31 | ===== Run 1/5 (seed 0) =====
2026-09-06 07:41:04 | Epoch  20/100 | Train Loss -0.0271 | Val Loss 0.0136 MAE 0.3933 R2 0.7669
2026-09-06 07:41:05 | Epoch  21/100 | Train Loss -0.0274 | Val Loss 0.0134 MAE 0.3904 R2 0.7704
2026-09-06 07:41:05 | Epoch  22/100 | Train Loss -0.0276 | Val Loss 0.0135 MAE 0.3895 R2 0.7683
2026-09-06 07:41:05 | Epoch  23/100 | Train Loss -0.0277 | Val Loss 0.0140 MAE 0.3970 R2 0.7604
2026-09-06 07:41:06 | Epoch  24/100 | Train Loss -0.0281 | Val Loss 0.0134 MAE 0.3909 R2 0.7705
2026-09-06 07:41:06 | Epoch  25/100 | Train Loss -0.0281 | Val Loss 0.0283 MAE 0.4001 R2 0.5156
2026-09-06 07:41:06 | Epoch  26/100 | Train Loss -0.0283 | Val Loss 0.0130 MAE 0.3859 R2 0.7768
2026-09-06 07:41:06 |   Val R2 improved to 0.7768, model saved
2026-09-06 07:41:06 | Epoch  27/100 | Train Loss -0.0287 | Val Loss 0.0131 MAE 0.3894 R2 0.7759
2026-09-06 07:41:07 | Epoch  28/100 | Train Loss -0.0288 | Val Loss 0.0133 MAE 0.3903 R2 0.7728
2026-09-06 07:41:07 | Epoch  29/100 | Train Loss -0.0289 | Val Loss 0.0750 MAE 0.4160 R2 -0.2850
2026-09-06 07:41:07 | Epoch  30/100 | Train Loss -0.0290 | Val Loss 0.3792 MAE 0.4512 R2 -5.4958
2026-09-06 07:41:07 | Epoch  31/100 | Train Loss -0.0291 | Val Loss 0.0979 MAE 0.4157 R2 -0.6776
2026-09-06 07:41:08 | Epoch  32/100 | Train Loss -0.0295 | Val Loss 0.0378 MAE 0.4006 R2 0.3516
2026-09-06 07:41:08 | Epoch  33/100 | Train Loss -0.0295 | Val Loss 1.0189 MAE 0.4820 R2 -16.4554
2026-09-06 07:41:08 | Epoch  34/100 | Train Loss -0.0294 | Val Loss 0.8091 MAE 0.4811 R2 -12.8607
2026-09-06 07:41:08 | Epoch  35/100 | Train Loss -0.0299 | Val Loss 0.0134 MAE 0.3828 R2 0.7712
2026-09-06 07:41:09 | Epoch  36/100 | Train Loss -0.0300 | Val Loss 0.0130 MAE 0.3830 R2 0.7778
2026-09-06 07:41:09 |   Val R2 improved to 0.7778, model saved
2026-09-06 07:41:09 | Epoch  37/100 | Train Loss -0.0302 | Val Loss 0.0132 MAE 0.3838 R2 0.7742
2026-09-06 07:41:09 | Epoch  38/100 | Train Loss -0.0300 | Val Loss 0.0512 MAE 0.3999 R2 0.1227
2026-09-06 07:41:09 | Epoch  39/100 | Train Loss -0.0304 | Val Loss 0.0132 MAE 0.3857 R2 0.7742
2026-09-06 07:41:10 | Epoch  40/100 | Train Loss -0.0304 | Val Loss 0.0158 MAE 0.3880 R2 0.7290
2026-09-06 07:41:10 | Epoch  41/100 | Train Loss -0.0306 | Val Loss 0.0139 MAE 0.3868 R2 0.7627
2026-09-06 07:41:10 | Epoch  42/100 | Train Loss -0.0311 | Val Loss 0.0132 MAE 0.3839 R2 0.7745
2026-09-06 07:41:10 | Epoch  43/100 | Train Loss -0.0311 | Val Loss 0.0135 MAE 0.3880 R2 0.7695
