config,run,norm,eps,acc
mnist_mlp_opb_beta0.01_scale12,4,l2,1.5,0.8610000610351562
mnist_mlp_opb_beta0.01_scale12,4,l2,2,0.7740000486373901
mnist_mlp_opb_beta0.01_scale12,4,l2,2.5,0.6500000357627869
mnist_mlp_opb_beta0.01_scale12,4,l2,3,0.5170000195503235
mnist_mlp_opb_beta0.01_scale12,5,none,0,0.9810000658035278
mnist_mlp_opb_beta0.01_scale12,5,linf,0.05,0.9310000538825989
mnist_mlp_opb_beta0.01_scale12,5,linf,0.1,0.8060000538825989
mnist_mlp_opb_beta0.01_scale12,5,linf,0.15,0.5570000410079956
mnist_mlp_opb_beta0.01_scale12,5,linf,0.2,0.28600001335144043
mnist_mlp_opb_beta0.01_scale12,5,linf,0.25,0.12200000882148743
mnist_mlp_opb_beta0.01_scale12,5,linf,0.3,0.049000002443790436
mnist_mlp_opb_beta0.01_scale12,5,l2,0.5,0.9590000510215759
mnist_mlp_opb_beta0.01_scale12,5,l2,1,0.9260000586509705
mnist_mlp_opb_beta0.01_scale12,5,l2,1.5,0.8720000386238098
mnist_mlp_opb_beta0.01_scale12,5,l2,2,0.7980000376701355
mnist_mlp_opb_beta0.01_scale12,5,l2,2.5,0.690000057220459
mnist_mlp_opb_beta0.01_scale12,5,l2,3,0.534000039100647
mnist_mlp_opb_beta0.1_scale12,1,none,0,0.9850000739097595
mnist_mlp_opb_beta0.1_scale12,1,linf,0.05,0.937000036239624
mnist_mlp_opb_beta0.1_scale12,1,linf,0.1,0.7900000214576721
mnist_mlp_opb_beta0.1_scale12,1,linf,0.15,0.4960000216960907
mnist_mlp_opb_beta0.1_scale12,1,linf,0.2,0.2930000126361847
mnist_mlp_opb_beta0.1_scale12,1,linf,0.25,0.15800000727176666
mnist_mlp_opb_beta0.1_scale12,1,linf,0.3,0.07900000363588333
mnist_mlp_opb_beta0.1_scale12,1,l2,0.5,0.9690000414848328
mnist_mlp_opb_beta0.1_scale12,1,l2,1,0.9350000619888306
mnist_mlp_opb_beta0.1_scale12,1,l2,1.5,0.8870000243186951
mnist_mlp_opb_beta0.1_scale12,1,l2,2,0.796000063419342
mnist_mlp_opb_beta0.1_scale12,1,l2,2.5,0.6580000519752502
mnist_mlp_opb_beta0.1_scale12,1,l2,3,0.5049999952316284
mnist_mlp_opb_beta0.1_scale12,2,none,0,0.984000027179718
mnist_mlp_opb_beta0.1_scale12,2,linf,0.05,0.937000036239624
mnist_mlp_opb_beta0.1_scale12,2,linf,0.1,0.7790000438690186
mnist_mlp_opb_beta0.1_scale12,2,linf,0.15,0.4930000305175781
mnist_mlp_opb_beta0.1_scale12,2,linf,0.2,0.2930000126361847
mnist_mlp_opb_beta0.1_scale12,2,linf,0.25,0.1510000079870224
mnist_mlp_opb_beta0.1_scale12,2,linf,0.3,0.06800000369548798
mnist_mlp_opb_beta0.1_scale12,2,l2,0.5,0.9660000205039978
mnist_mlp_opb_beta0.1_scale12,2,l2,1,0.9380000233650208
